label,D_true,rho_true,D_est,rho_est,D_err_pct,rho_err_pct,final_loss
cfgA_noise00,0.05,0.2,0.04990563914179802,0.20004160702228546,0.18872171640396673,0.020803511142725162,3.374280481693859e-07
cfgA_noise01,0.05,0.2,0.050140779465436935,0.19883029162883759,0.2815589308738653,0.5848541855812128,9.791123738978058e-05
cfgA_noise03,0.05,0.2,0.046284738928079605,0.19525521993637085,7.430522143840795,2.3723900318145805,0.0008016584324650466
cfgA_noise05,0.05,0.2,0.010117900557816029,0.16993257403373718,79.76419888436794,15.033712983131414,0.002242861781269312
cfgB_noise00,0.1,0.5,0.09838602691888809,0.498757541179657,1.6139730811119135,0.24849176406860352,4.853875452681677e-06
cfgB_noise01,0.1,0.5,0.09567427635192871,0.4925667643547058,4.325723648071294,1.486647129058838,0.00010870415280805901
cfgB_noise03,0.1,0.5,0.08790016174316406,0.4920012056827545,12.099838256835943,1.5997588634490967,0.0010586752323433757
cfgB_noise05,0.1,0.5,0.058804500848054886,0.47963234782218933,41.19549915194512,4.073530435562134,0.002753159496933222
cfgC_noise00,0.2,0.3,0.19781847298145294,0.29927167296409607,1.0907635092735346,0.24277567863463986,3.5010507417609915e-06
cfgC_noise01,0.2,0.3,0.1961592584848404,0.2974640130996704,1.920370757579809,0.8453289667765262,0.00013711437350139022
cfgC_noise03,0.2,0.3,0.1905781775712967,0.2928972542285919,4.710911214351659,2.3675819238026903,0.0010441456688567996
cfgC_noise05,0.2,0.3,0.1697511523962021,0.27597129344940186,15.124423801898962,8.009568850199377,0.0026645429898053408
cfgD_noise00,0.08,1.0,0.07597395777702332,0.9985276460647583,5.0325527787208575,0.14723539352416992,5.919713657931425e-06
cfgD_noise01,0.08,1.0,0.0765109732747078,1.0047153234481812,4.361283406615259,0.47153234481811523,0.00012655675527639687
cfgD_noise03,0.08,1.0,0.06589633226394653,0.9916855692863464,17.629584670066837,0.8314430713653564,0.0010575947817415
cfgD_noise05,0.08,1.0,0.0654148980975151,0.9797860980033875,18.23137737810612,2.021390199661255,0.002579338848590851
