label,D_est,rho_est,D_err_pct,rho_err_pct,v_frente,t_crit_sin_tto,t_crit_leve,t_crit_mod,t_crit_agr
cfgA_noise00,0.04990563914179802,0.20004160702228546,0.18872171640396673,0.020803511142725162,0.1998,21.8,25.5,35.5,70.0
cfgA_noise01,0.050140779465436935,0.19883029162883759,0.2815589308738653,0.5848541855812128,0.1997,21.8,25.5,35.5,70.0
cfgA_noise03,0.046284738928079605,0.19525521993637085,7.430522143840795,2.3723900318145805,0.1901,22.7,26.4,37.3,72.7
cfgA_noise05,0.010117900557816029,0.16993257403373718,79.76419888436794,15.033712983131414,0.0829,40.0,46.4,64.5,N/A
cfgB_noise00,0.09838602691888809,0.498757541179657,1.6139730811119135,0.24849176406860352,0.443,10.0,10.9,15.5,30.0
cfgB_noise01,0.09567427635192871,0.4925667643547058,4.325723648071294,1.486647129058838,0.4342,10.0,11.8,15.5,30.0
cfgB_noise03,0.08790016174316406,0.4920012056827545,12.099838256835943,1.5997588634490967,0.4159,10.0,11.8,16.4,30.9
cfgB_noise05,0.058804500848054886,0.47963234782218933,41.19549915194512,4.073530435562134,0.3359,11.8,13.6,18.2,34.5
cfgC_noise00,0.19781847298145294,0.29927167296409607,1.0907635092735346,0.24277567863463986,0.4866,10.9,13.6,19.1,40.0
cfgC_noise01,0.1961592584848404,0.2974640130996704,1.920370757579809,0.8453289667765262,0.4831,10.9,13.6,19.1,40.0
cfgC_noise03,0.1905781775712967,0.2928972542285919,4.710911214351659,2.3675819238026903,0.4725,11.8,13.6,19.1,40.9
cfgC_noise05,0.1697511523962021,0.27597129344940186,15.124423801898962,8.009568850199377,0.4329,12.7,14.5,20.9,43.6
cfgD_noise00,0.07597395777702332,0.9985276460647583,5.0325527787208575,0.14723539352416992,0.5509,6.4,7.3,10.9,19.1
cfgD_noise01,0.0765109732747078,1.0047153234481812,4.361283406615259,0.47153234481811523,0.5545,6.4,7.3,10.0,19.1
cfgD_noise03,0.06589633226394653,0.9916855692863464,17.629584670066837,0.8314430713653564,0.5113,7.3,8.2,10.9,20.0
cfgD_noise05,0.0654148980975151,0.9797860980033875,18.23137737810612,2.021390199661255,0.5063,7.3,8.2,10.9,20.9
